code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K7_R1_2,matched,delete,0.006,0.01,0.01,0.006,0.01,4,0.865080,0.082872,0.000000,0.525595
K7_R1_2,matched,delete,0.008,0.01,0.01,0.008,0.01,4,0.845461,0.093315,0.000000,0.525595
K7_R1_2,matched,delete,0.01,0.01,0.01,0.01,0.01,4,0.726118,0.156868,0.000000,0.525595
K7_R1_2,matched,delete,0.012,0.01,0.01,0.012,0.01,4,0.589527,0.229230,0.000000,0.525595
K7_R1_2,matched,delete,0.015,0.01,0.01,0.015,0.01,4,0.570952,0.243958,0.000000,0.525595
K7_R1_2,matched,delete,0.018,0.01,0.01,0.018,0.01,4,0.466359,0.297122,0.000000,0.525595
K7_R1_2,matched,delete,0.021,0.01,0.01,0.021,0.01,4,0.442926,0.311211,0.000000,0.525595
K7_R1_2,matched,delete,0.025,0.01,0.01,0.025,0.01,4,0.263694,0.395938,0.000000,0.525595
K7_R1_2,matched,delete,0.029,0.01,0.01,0.029,0.01,4,0.165684,0.444600,0.000000,0.525595
K7_R1_2,matched,delete,0.033,0.01,0.01,0.033,0.01,4,0.067384,0.494095,0.000000,0.525595
K7_R1_2,matched,delete,0.038,0.01,0.01,0.038,0.01,4,0.087785,0.480323,0.000000,0.525595
K7_R1_2,matched,delete,0.043,0.01,0.01,0.043,0.01,4,0.067612,0.493572,0.000000,0.525595
K7_R1_2,matched,delete,0.05,0.01,0.01,0.05,0.01,4,0.026908,0.514432,0.000000,0.525595
K7_R1_2,matched,delete,0.057,0.01,0.01,0.057,0.01,4,0.009982,0.520596,0.000000,0.525595
K7_R1_2,matched,delete,0.064,0.01,0.01,0.064,0.01,4,0.000000,0.525595,0.000000,0.525595
K7_R1_2,matched,delete,0.07,0.01,0.01,0.07,0.01,4,0.000000,0.525595,0.000000,0.525595
K7_R1_2,matched,erase,0,0.01,0.01,0.01,0,4,0.999023,0.000977,0.000000,0.724979
K7_R1_2,matched,erase,0.006,0.01,0.01,0.01,0.006,4,0.986270,0.011725,0.000000,0.597984
K7_R1_2,matched,erase,0.012,0.01,0.01,0.01,0.012,4,0.963854,0.023620,0.000000,0.492660
K7_R1_2,matched,erase,0.018,0.01,0.01,0.01,0.018,4,0.893569,0.068598,0.000000,0.405409
K7_R1_2,matched,erase,0.022,0.01,0.01,0.01,0.022,4,0.746215,0.132189,0.000000,0.355769
K7_R1_2,matched,erase,0.026,0.01,0.01,0.01,0.026,4,0.715393,0.124214,0.000000,0.312041
K7_R1_2,matched,erase,0.03,0.01,0.01,0.01,0.03,4,0.566067,0.164356,0.000000,0.273540
K7_R1_2,matched,erase,0.035,0.01,0.01,0.01,0.035,4,0.455071,0.171794,0.000000,0.231846
K7_R1_2,matched,erase,0.04,0.01,0.01,0.01,0.04,4,0.422153,0.156172,0.000000,0.196338
K7_R1_2,matched,erase,0.045,0.01,0.01,0.01,0.045,4,0.311612,0.141182,0.000000,0.166124
K7_R1_2,matched,erase,0.05,0.01,0.01,0.01,0.05,4,0.220526,0.135822,0.000000,0.140437
K7_R1_2,matched,erase,0.06,0.01,0.01,0.01,0.06,4,0.147014,0.106698,0.000000,0.100096
K7_R1_2,matched,erase,0.07,0.01,0.01,0.01,0.07,4,0.095092,0.091776,0.000000,0.071085
K7_R1_2,matched,erase,0.08,0.01,0.01,0.01,0.08,4,0.091709,0.064786,0.000000,0.050296
K7_R1_2,matched,erase,0.09,0.01,0.01,0.01,0.09,4,0.036858,0.037296,0.000000,0.035453
K7_R1_2,matched,erase,0.1,0.01,0.01,0.01,0.1,4,0.013466,0.026707,0.000000,0.024894
K7_R1_2,matched,erase,0.11,0.01,0.01,0.01,0.11,4,0.023252,0.017254,0.000000,0.017410
K7_R1_2,matched,erase,0.12,0.01,0.01,0.01,0.12,4,0.006855,0.013012,0.000000,0.012127
K7_R1_2,matched,erase,0.13,0.01,0.01,0.01,0.13,4,0.000000,0.008413,0.000000,0.008413
K7_R1_2,matched,erase,0.14,0.01,0.01,0.01,0.14,4,0.000000,0.005811,0.000000,0.005811
K7_R1_2,matched,erase,0.15,0.01,0.01,0.01,0.15,4,0.000000,0.003997,0.000000,0.003997
K7_R1_2,matched,erase,0.16,0.01,0.01,0.01,0.16,4,0.000000,0.002737,0.000000,0.002737
K7_R1_2,matched,erase,0.18,0.01,0.01,0.01,0.18,4,0.000000,0.001266,0.000000,0.001266
K7_R1_2,matched,erase,0.2,0.01,0.01,0.01,0.2,4,0.000000,0.000574,0.000000,0.000574
K7_R1_2,matched,erase,0.22,0.01,0.01,0.01,0.22,4,0.000000,0.000255,0.000000,0.000255
K7_R1_2,matched,erase,0.24,0.01,0.01,0.01,0.24,4,0.000000,0.000111,0.000000,0.000111
K7_R1_2,matched,erase,0.26,0.01,0.01,0.01,0.26,4,0.000000,0.000047,0.000000,0.000047
K7_R1_3,matched,flip,0,0,0.01,0.01,0.01,4,0.999969,0.000031,0.000000,0.724979
K7_R1_3,matched,flip,0.004,0.004,0.01,0.01,0.01,4,0.999415,0.000585,0.000000,0.637711
K7_R1_3,matched,flip,0.008,0.008,0.01,0.01,0.01,4,0.949733,0.036043,0.000000,0.560659
K7_R1_3,matched,flip,0.01,0.01,0.01,0.01,0.01,4,0.964201,0.029055,0.000000,0.525595
K7_R1_3,matched,flip,0.012,0.012,0.01,0.01,0.01,4,0.939158,0.045511,0.000000,0.492660
K7_R1_3,matched,flip,0.014,0.014,0.01,0.01,0.01,4,0.872684,0.081004,0.000000,0.461729
K7_R1_3,matched,flip,0.016,0.016,0.01,0.01,0.01,4,0.795679,0.118902,0.000000,0.432682
K7_R1_3,matched,flip,0.018,0.018,0.01,0.01,0.01,4,0.727952,0.148669,0.000000,0.405409
K7_R1_3,matched,flip,0.02,0.02,0.01,0.01,0.01,4,0.722039,0.153931,0.000000,0.379804
K7_R1_3,matched,flip,0.024,0.024,0.01,0.01,0.01,4,0.486274,0.211150,0.000000,0.333211
K7_R1_3,matched,flip,0.028,0.028,0.01,0.01,0.01,4,0.444410,0.208369,0.000000,0.292177
K7_R1_3,matched,flip,0.032,0.032,0.01,0.01,0.01,4,0.323767,0.207421,0.000000,0.256057
K7_R1_3,matched,flip,0.036,0.036,0.01,0.01,0.01,4,0.208614,0.199031,0.000000,0.224280
K7_R1_3,matched,flip,0.04,0.04,0.01,0.01,0.01,4,0.164476,0.187559,0.000000,0.196338
K7_R1_3,matched,flip,0.045,0.045,0.01,0.01,0.01,4,0.093609,0.163810,0.000000,0.166124
K7_R1_3,matched,flip,0.05,0.05,0.01,0.01,0.01,4,0.052884,0.138221,0.000000,0.140437
K7_R1_3,matched,flip,0.055,0.055,0.01,0.01,0.01,4,0.009948,0.120607,0.000000,0.118616
K7_R1_3,matched,flip,0.06,0.06,0.01,0.01,0.01,4,0.028871,0.107795,0.000000,0.100096
K7_R1_3,matched,flip,0.065,0.065,0.01,0.01,0.01,4,0.012911,0.083883,0.000000,0.084391
K7_R1_3,matched,flip,0.07,0.07,0.01,0.01,0.01,4,0.000000,0.071085,0.000000,0.071085
K7_R1_3,matched,flip,0.075,0.075,0.01,0.01,0.01,4,0.000000,0.059822,0.000000,0.059822
K7_R1_3,matched,flip,0.08,0.08,0.01,0.01,0.01,4,0.005926,0.050802,0.000000,0.050296
K7_R1_3,matched,flip,0.085,0.085,0.01,0.01,0.01,4,0.000000,0.042247,0.000000,0.042247
K7_R1_3,matched,flip,0.09,0.09,0.01,0.01,0.01,4,0.000000,0.035453,0.000000,0.035453
K7_R1_3,matched,flip,0.095,0.095,0.01,0.01,0.01,4,0.000000,0.029722,0.000000,0.029722
K7_R1_3,matched,flip,0.1,0.1,0.01,0.01,0.01,4,0.000000,0.024894,0.000000,0.024894
K7_R1_3,matched,flip,0.11,0.11,0.01,0.01,0.01,4,0.000000,0.017410,0.000000,0.017410
K7_R1_3,matched,flip,0.12,0.12,0.01,0.01,0.01,4,0.000000,0.012127,0.000000,0.012127
K7_R1_3,matched,insert,0,0.01,0,0.01,0.01,4,0.999969,0.000031,0.000000,0.525595
K7_R1_3,matched,insert,0.002,0.01,0.002,0.01,0.01,4,0.996175,0.002733,0.000000,0.525595
K7_R1_3,matched,insert,0.004,0.01,0.004,0.01,0.01,4,0.955076,0.029357,0.000000,0.525595
K7_R1_3,matched,insert,0.006,0.01,0.006,0.01,0.01,4,0.886771,0.068269,0.000000,0.525595
K7_R1_3,matched,insert,0.008,0.01,0.008,0.01,0.01,4,0.774729,0.128350,0.000000,0.525595
K7_R1_3,matched,insert,0.01,0.01,0.01,0.01,0.01,4,0.732632,0.156548,0.000000,0.525595
K7_R1_3,matched,insert,0.012,0.01,0.012,0.01,0.01,4,0.680597,0.193696,0.000000,0.525595
K7_R1_3,matched,insert,0.015,0.01,0.015,0.01,0.01,4,0.497291,0.281262,0.000000,0.525595
K7_R1_3,matched,insert,0.018,0.01,0.018,0.01,0.01,4,0.419035,0.326376,0.000000,0.525595
K7_R1_3,matched,insert,0.021,0.01,0.021,0.01,0.01,4,0.303296,0.386211,0.000000,0.525595
K7_R1_3,matched,insert,0.025,0.01,0.025,0.01,0.01,4,0.201654,0.432322,0.000000,0.525595
K7_R1_3,matched,insert,0.029,0.01,0.029,0.01,0.01,4,0.116266,0.474567,0.000000,0.525595
K7_R1_3,matched,insert,0.033,0.01,0.033,0.01,0.01,4,0.114882,0.471772,0.000000,0.525595
K7_R1_3,matched,insert,0.038,0.01,0.038,0.01,0.01,4,0.045953,0.504127,0.000000,0.525595
K7_R1_3,matched,insert,0.043,0.01,0.043,0.01,0.01,4,0.018991,0.517433,0.000000,0.525595
K7_R1_3,matched,insert,0.05,0.01,0.05,0.01,0.01,4,0.014056,0.518706,0.000000,0.525595
K7_R1_3,matched,insert,0.057,0.01,0.057,0.01,0.01,4,0.003172,0.525433,0.000000,0.525595
K7_R1_3,matched,insert,0.064,0.01,0.064,0.01,0.01,4,0.005297,0.523824,0.000000,0.525595
K7_R1_3,matched,insert,0.07,0.01,0.07,0.01,0.01,4,0.000000,0.525595,0.000000,0.525595
K7_R1_3,matched,delete,0,0.01,0.01,0,0.01,4,0.999969,0.000031,0.000000,0.525595
K7_R1_3,matched,delete,0.002,0.01,0.01,0.002,0.01,4,0.983585,0.010075,0.000000,0.525595
K7_R1_3,matched,delete,0.004,0.01,0.01,0.004,0.01,4,0.968719,0.020073,0.000000,0.525595
K7_R1_3,matched,delete,0.006,0.01,0.01,0.006,0.01,4,0.931938,0.044898,0.000000,0.525595
K7_R1_3,matched,delete,0.008,0.01,0.01,0.008,0.01,4,0.806520,0.120138,0.000000,0.525595
K7_R1_3,matched,delete,0.01,0.01,0.01,0.01,0.01,4,0.753909,0.146957,0.000000,0.525595
K7_R1_3,matched,delete,0.012,0.01,0.01,0.012,0.01,4,0.626610,0.219872,0.000000,0.525595
K7_R1_3,matched,delete,0.015,0.01,0.01,0.015,0.01,4,0.534941,0.270147,0.000000,0.525595
K7_R1_3,matched,delete,0.018,0.01,0.01,0.018,0.01,4,0.344419,0.366377,0.000000,0.525595
K7_R1_3,matched,delete,0.021,0.01,0.01,0.021,0.01,4,0.275247,0.392269,0.000000,0.525595
K7_R1_3,matched,delete,0.025,0.01,0.01,0.025,0.01,4,0.184718,0.443333,0.000000,0.525595
